time,belpex,solar,wind,load
2021-01-13 20:00:00,62.17,0.0,146.3325,10876.9125
2021-01-13 21:00:00,58.68,0.0,49.3675,11027.6225
2021-01-13 22:00:00,62.8,0.0,2.47,11043.435
2021-01-13 23:00:00,67.98,0.0,128.805,10342.805
2021-01-14 00:00:00,59.3,0.0,43.4075,9874.0575
2021-01-14 01:00:00,52.5,0.0,5.99,9571.405
2021-01-14 02:00:00,49.9,0.0,0.0,9380.09
2021-01-14 03:00:00,44.03,0.0,47.855,9466.675
2021-01-14 04:00:00,47.58,0.0,586.665,9903.5075
2021-01-14 05:00:00,60.04,0.0,1151.6,11034.275
2021-01-14 06:00:00,79.9,0.0,1265.0475,12066.4725
2021-01-14 07:00:00,88.82,2.0675,1467.3875,12478.49
2021-01-14 08:00:00,89.27,53.285,1694.8025,12526.45
2021-01-14 09:00:00,89.63,150.68,1877.2275,12295.27
2021-01-14 10:00:00,91.05,237.9625,1994.26,12252.8475
2021-01-14 11:00:00,88.75,284.3,2060.1275,12087.05
2021-01-14 12:00:00,87.1,281.11,2071.5425,12095.065
2021-01-14 13:00:00,83.98,231.1825,2043.545,11924.13
2021-01-14 14:00:00,79.96,128.175,1977.69,11992.1425
2021-01-14 15:00:00,83.42,31.7325,1974.57,12127.7875
2021-01-14 16:00:00,97.56,0.0125,2049.4275,12789.845
2021-01-14 17:00:00,90.16,0.0,2101.1525,12846.2175
2021-01-14 18:00:00,87.7,0.0,2125.4025,12381.58
2021-01-14 19:00:00,74.58,0.0,2100.115,11729.9725
2021-01-14 20:00:00,62.74,0.0,2068.1175,11080.7175
2021-01-14 21:00:00,59.82,0.0,2037.005,11057.3775
2021-01-14 22:00:00,55.6,0.0,1977.7,10985.5975
2021-01-14 23:00:00,48.98,0.0,1703.8475,10517.18
2021-01-15 00:00:00,48.66,0.0,1627.4525,10061.3675
2021-01-15 01:00:00,47.7,0.0,1473.21,9718.4275
2021-01-15 02:00:00,46.6,0.0,1291.085,9581.0775
2021-01-15 03:00:00,48.0,0.0,1082.0925,9633.945
2021-01-15 04:00:00,51.52,0.0,918.5075,10023.9275
2021-01-15 05:00:00,62.97,0.0,830.3475,10976.165
2021-01-15 06:00:00,77.94,0.0,693.2125,11959.86
2021-01-15 07:00:00,91.4,3.74,450.695,12387.375
2021-01-15 08:00:00,97.76,118.8175,200.5875,12467.5425
2021-01-15 09:00:00,90.69,349.795,62.3675,12318.25
2021-01-15 10:00:00,86.97,536.1675,19.235,12248.0775
2021-01-15 11:00:00,79.25,670.77,0.0,12002.7
2021-01-15 12:00:00,76.64,681.4775,0.0,11849.43
2021-01-15 13:00:00,77.14,567.285,0.0,11799.625
2021-01-15 14:00:00,76.98,337.6775,0.0,11826.25
2021-01-15 15:00:00,82.0,84.0425,6.915,11958.7825
2021-01-15 16:00:00,95.24,0.2375,26.285,12497.5225
2021-01-15 17:00:00,98.02,0.0,3.89,12384.0175
2021-01-15 18:00:00,95.01,0.0,0.0,11923.1875
2021-01-15 19:00:00,77.2,0.0,0.0,11405.6625
2021-01-15 20:00:00,67.18,0.0,0.0,10931.1475
2021-01-15 21:00:00,63.19,0.0,2.455,11019.0125
2021-01-15 22:00:00,58.51,0.0,20.7775,11018.745
2021-01-15 23:00:00,69.93,0.0,844.9075,10570.775
2021-01-16 00:00:00,63.88,0.0,681.335,10090.225
2021-01-16 01:00:00,57.82,0.0,694.66,9749.39
2021-01-16 02:00:00,53.14,0.0,975.57,9486.195
2021-01-16 03:00:00,49.51,0.0,1091.665,9338.7875
2021-01-16 04:00:00,48.52,0.0,1086.0,9372.4375
2021-01-16 05:00:00,49.25,0.0,1280.915,9691.4925
2021-01-16 06:00:00,50.84,0.0,1629.205,10021.7025
2021-01-16 07:00:00,62.48,3.845,1895.335,10606.8475
2021-01-16 08:00:00,65.77,99.5775,2050.405,11038.6475
2021-01-16 09:00:00,68.8,288.0825,2078.03,11319.8325
2021-01-16 10:00:00,64.66,414.25,2096.975,11453.13
2021-01-16 11:00:00,51.12,416.075,2113.4175,11414.48
2021-01-16 12:00:00,47.62,308.1625,2126.07,11131.4875
2021-01-16 13:00:00,48.15,193.4425,2138.295,10891.2325
2021-01-16 14:00:00,50.65,95.685,2143.2975,10889.88
2021-01-16 15:00:00,57.7,23.6325,2145.905,11024.29
2021-01-16 16:00:00,65.01,0.0525,2111.795,11607.9525
2021-01-16 17:00:00,66.4,0.0,1814.1025,11826.145
2021-01-16 18:00:00,63.83,0.0,774.725,11399.875
2021-01-16 19:00:00,62.93,0.0,457.4975,10904.46
2021-01-16 20:00:00,55.09,0.0,1534.0,10418.1825
2021-01-16 21:00:00,53.2,0.0,1823.5025,10463.85
2021-01-16 22:00:00,54.63,0.0,2053.545,10492.08
2021-01-16 23:00:00,46.45,0.0,1250.1675,10033.47
2021-01-17 00:00:00,46.06,0.0,1456.2325,9543.785
2021-01-17 01:00:00,45.8,0.0,1679.94,9124.35
2021-01-17 02:00:00,46.09,0.0,1718.04,8878.37
2021-01-17 03:00:00,45.8,0.0,1728.2875,8780.66
2021-01-17 04:00:00,45.42,0.0,1876.595,8860.235
2021-01-17 05:00:00,46.32,0.0,2082.9725,9088.7425
2021-01-17 06:00:00,46.29,0.0,2077.7525,9259.535
2021-01-17 07:00:00,46.62,2.355,2066.375,9649.5775
2021-01-17 08:00:00,48.07,63.1725,1983.0425,10137.555
2021-01-17 09:00:00,54.31,197.2425,1948.6575,10458.43
2021-01-17 10:00:00,64.52,349.48,1812.0025,10693.375
2021-01-17 11:00:00,51.79,488.2375,1761.33,10807.13
2021-01-17 12:00:00,51.69,559.3175,1742.42,10450.825
2021-01-17 13:00:00,49.95,515.7825,1470.7225,10182.4575
2021-01-17 14:00:00,53.48,330.755,1010.5575,10212.64
2021-01-17 15:00:00,60.6,90.9725,1069.245,10423.865
2021-01-17 16:00:00,67.05,0.6,1156.2775,11084.6725
2021-01-17 17:00:00,72.0,0.0,1023.7425,11526.2625
2021-01-17 18:00:00,73.2,0.0,971.94,11300.865
2021-01-17 19:00:00,71.08,0.0,891.74,10857.5425
2021-01-17 20:00:00,67.46,0.0,740.5975,10296.475
2021-01-17 21:00:00,63.72,0.0,744.285,10286.04
2021-01-17 22:00:00,54.38,0.0,849.395,10245.6425
2021-01-17 23:00:00,56.5,0.0,704.265,9925.63
2021-01-18 00:00:00,50.36,0.0,727.0125,9473.4275
2021-01-18 01:00:00,49.9,0.0,879.3525,9183.1475
2021-01-18 02:00:00,47.4,0.0,1020.4025,8958.12
2021-01-18 03:00:00,47.2,0.0,1258.0875,9086.385
2021-01-18 04:00:00,45.7,0.0,1480.0775,9565.31
2021-01-18 05:00:00,73.61,0.0,1654.97,10718.71
2021-01-18 06:00:00,83.02,0.0,1871.5475,11726.62
2021-01-18 07:00:00,74.11,5.155,1940.7375,12268.1825
2021-01-18 08:00:00,65.1,142.0375,1887.59,12455.02
2021-01-18 09:00:00,67.89,410.795,1873.055,12476.2475
2021-01-18 10:00:00,61.42,609.5525,1959.3,12476.6525
2021-01-18 11:00:00,47.94,752.45,1916.285,12294.195
2021-01-18 12:00:00,46.0,756.3175,1868.94,12251.3125
2021-01-18 13:00:00,49.9,569.9725,1799.86,12149.7275
2021-01-18 14:00:00,49.9,309.78,1726.005,12153.1975
2021-01-18 15:00:00,54.65,82.9375,1671.26,12246.58
2021-01-18 16:00:00,73.3,0.775,1578.57,12728.0375
2021-01-18 17:00:00,73.3,0.0,1567.085,12739.7925
2021-01-18 18:00:00,49.9,0.0,1456.345,12173.6575
2021-01-18 19:00:00,40.0,0.0,1659.1275,11408.3375
2021-01-18 20:00:00,40.0,0.0,1805.6575,10651.4475
2021-01-18 21:00:00,55.25,0.0,1937.9775,10615.6925
2021-01-18 22:00:00,52.07,0.0,2162.1275,10518.6125
2021-01-18 23:00:00,46.6,0.0,2166.88,10396.15
2021-01-19 00:00:00,44.68,0.0,2166.88,9935.87
2021-01-19 01:00:00,42.3,0.0,2166.88,9521.195
2021-01-19 02:00:00,39.38,0.0,2166.88,9351.14
2021-01-19 03:00:00,39.24,0.0,2166.88,9415.0275
2021-01-19 04:00:00,40.49,0.0,2166.88,9823.7225
2021-01-19 05:00:00,38.75,0.0,2155.01,10849.1225
2021-01-19 06:00:00,70.1,0.0,2166.01,11763.7625
2021-01-19 07:00:00,58.35,0.985,2166.6525,12138.9925
